Benchmark,Variables,Clauses,Result,DPLL(s),CDCL(s),VSIDS(s),DPLL(KB),CDCL(KB),VSIDS(KB)
uf20-0114.cnf,20,91,SAT,0.000389,0.000107,4.5e-05,3760,1948,1912
uf20-0159.cnf,20,91,SAT,0.000781,0.000167,8.3e-05,3660,1932,1936
uf20-0518.cnf,20,91,SAT,0.000169,0.000104,3.6e-05,3708,1912,1908
uf20-0681.cnf,20,91,SAT,9.5e-05,0.000117,3.7e-05,1944,1956,1908
uf20-0771.cnf,20,91,SAT,0.000176,0.000188,0.000105,3708,1988,1892
uf20-0941.cnf,20,91,SAT,0.000383,0.000119,4.8e-05,3784,1984,1956
aim-50-2_0-yes1-4.cnf,50,100,SAT,0.212331,0.000273,0.000317,4048,3800,1940
aim-50-3_4-yes1-4.cnf,50,170,SAT,0.010284,0.000226,0.000104,3912,3612,3660
uuf50-0152.cnf,50,218,UNSAT,0.07464,0.002649,0.002566,4108,3524,3624
uuf50-057.cnf,50,218,UNSAT,0.007386,0.0031,0.001606,4016,3660,3604
uuf50-063.cnf,50,218,UNSAT,0.023096,0.003222,0.001395,4156,3524,3696
uf75-01.cnf,75,325,SAT,0.003371,0.00149,0.000363,4632,3864,3724
uf75-011.cnf,75,325,SAT,0.203612,0.023379,0.002541,5068,3736,3652
uf75-012.cnf,75,325,SAT,0.272922,0.002886,0.017739,4916,3768,3928
uuf75-013.cnf,75,325,UNSAT,0.512505,0.032258,0.014496,4944,3612,3572
flat30-100.cnf,90,300,SAT,0.00053,0.000172,0.000416,4056,3732,3652
flat30-31.cnf,90,300,SAT,0.000748,0.000172,0.000331,3836,3720,3500
flat30-45.cnf,90,300,SAT,0.000552,0.000154,0.000296,3968,3692,3620
flat30-83.cnf,90,300,SAT,0.000589,0.000161,0.000555,3968,3680,3536
uf100-01.cnf,100,430,SAT,3.888008,0.113287,0.004224,5664,3960,3904
uf100-0105.cnf,100,430,SAT,0.512649,0.073722,0.000895,5588,3856,4056
uf100-035.cnf,100,430,SAT,1.541247,0.092594,0.001141,5888,3852,3860
uf100-046.cnf,100,430,SAT,14.878872,0.106065,0.003291,6112,3992,3912
uuf125-027.cnf,125,538,UNSAT,42.858711,0.948045,0.795685,6784,4036,3788
uuf125-064.cnf,125,538,UNSAT,41.621994,0.867062,0.146428,7020,3980,3884
uf150-01.cnf,150,645,SAT,30.891334,0.212576,0.03513,8276,4144,4204
uuf150-067.cnf,150,645,UNSAT,307.442699,4.421082,2.438081,8048,4240,4276
